NUMBER	ENGLISH	SPANISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
83	louse	piojo	1392	LOUSE
84	man [male]	hombre	1554	MAN
85	many	muchos	1198	MANY
86	meat (flesh)	carne	634	MEAT
87	mother	madre	1216	MOTHER
88	mountain	montaña (hill = cerro loma)	639	MOUNTAIN
89	mouth	boca	674	MOUTH
90	name	nombre	1405	NAME
91	narrow	angosto estrecho	1267	NARROW
92	near	cerca	1942	NEAR
93	neck	cuello	1333	NECK
94	new	nuevo	1231	NEW
95	night	noche	1233	NIGHT
96	nose	nariz	1221	NOSE
97	old [adj.]	viejo	1229	OLD
98	one	uno	1493	ONE
99	other	otro	197	OTHER
100	person (human)	persona	683	PERSON
101	play	jugar	1413	PLAY
102	pull	jalar	1455	PULL
103	push	empujar	1452	PUSH
104	rain	lluvia	658	RAIN (PRECIPITATION)
105	red	rojo	156	RED
106	river	rio	666	RIVER
107	road (path)	carretera (camino trocha sendero)	667	ROAD
108	root	raiz	670	ROOT
109	rope (cord)	cuerda soga	362	STRING
110	rotten [log]	podrido	1728	ROTTEN
111	rub	sobar frotar	1449	RUB
112	salt	sal	1274	SALT
113	sand	arena	671	SAND
114	say	decir	1458	SAY
115	scratch [an itch]	rascar	1436	SCRATCH
116	see	ver	1409	SEE
117	seed	semilla	714	SEED
118	sew	coser	1457	SEW
119	sharp [knife]	filudo filoso	1396	SHARP
120	short	corto bajo (vertical)	1645	SHORT
121	sing	cantar	1261	SING
122	sit	sentar(-se)	1649	SIT DOWN
123	skin [of person]	piel	2613	SKIN (HUMAN)
124	sky	cielo	1732	SKY
125	sleep	dormir	1585	SLEEP
126	small	pequeño	1246	SMALL
127	smell [tr. v.]	oler	1586	SMELL (PERCEIVE)
128	smoke [noun]	humo	778	SMOKE (EXHAUST)
129	smooth	liso	1234	SMOOTH
130	snake	culebra	730	SNAKE
131	some	algunos	1241	SOME
132	spit [verb]	escupir	1440	SPIT
133	split	partir hender	1437	SPLIT
134	squeeze	apretar	1414	SQUEEZE
135	stab [or pierce]	penetrar (perforando)	1434	STAB
136	stand	parar(-se)	570	STAND UP
137	star	estrella	1430	STAR
138	stick [of wood]	palo	1295	STICK
139	stone	piedra	857	STONE
140	straight	recto derecho	1404	STRAIGHT
141	suck	chupar	1421	SUCK
142	sun	sol	1343	SUN
143	swell	hinchar	1573	SWELL
144	swim	nadar	1439	SWIM
145	tail	rabo cola	1220	TAIL
146	they	ellos	817	THEY
147	thick	grueso	1244	THICK
148	thin	delgado	1400	THIN (SLIM)
149	think	pensar	2271	THINK
150	this	este	1214	THIS
151	thou [you]	usted tu	1215	THOU
152	throw	tirar lanzar	1456	THROW
153	tie [verb]	atar amarrar	1917	TIE
154	tongue	lengua	1205	TONGUE
155	tooth [front]	diente	1380	TOOTH
156	tree	arbol	906	TREE
157	turn [intr. v.]	voltear(se) girar	1588	TURN
158	two	dos	1498	TWO
159	vomit [verb]	vomitar	1278	VOMIT
160	walk	caminar andar (more general)	1443	WALK
161	warm (hot weather)	caliente	2110	WARM (OF WEATHER)
162	wash	lavar	1453	WASH
163	water	agua	948	WATER
164	we	nosotros	1212	WE
165	wet	mojado	1726	WET
166	what [interr.]	que	1236	WHAT
167	when [interr.]	cuando	1238	WHEN
168	where [interr.]	donde	1237	WHERE
169	white	blanco	1335	WHITE
170	who [interr.]	quien	1235	WHO
171	wide	ancho	1243	WIDE
172	wife	esposa	1199	WIFE
173	wind [breeze]	viento	960	WIND
174	wing	ala	1257	WING
175	wipe	limpiar enjugar	1454	WIPE
176	woman	mujer	962	WOMAN
177	woods (forest)	bosque (= monte in Peru)	420	FOREST
178	worm (i.e. earthworm)	lombriz (gusano = grub)	2350	EARTHWORM
179	ye [you all]	ustedes vosotros	1213	YOU
180	year	año	1226	YEAR
181	yellow	amarillo	1424	YELLOW
